"FeatureCode","City","FeatureType","Year","Measurement","Units","Value","Energy Type","Energy Consuming Sector"
"S12000038","Renfrewshire","Council Area",2015,"Count","GWh",4.911,"Bioenergy & Wastes","Domestic"
"S12000041","Angus","Council Area",2015,"Count","GWh",1.615,"Petroleum Products","Commercial"
"S12000049","Glasgow City","Council Area",2015,"Count","GWh",0,"Bioenergy & Wastes","Commercial"
"S12000040","West Lothian","Council Area",2015,"Count","GWh",301.994,"Electricity","Domestic"
"S12000019","Midlothian","Council Area",2015,"Count","GWh",2.914,"Manufactured Fuels","All"
"S12000019","Midlothian","Council Area",2015,"Count","GWh",629.01,"Petroleum Products","All"
"S12000049","Glasgow City","Council Area",2015,"Count","GWh",3898.222,"All","Domestic"
"S12000036","City of Edinburgh","Council Area",2015,"Count","GWh",6.333,"Petroleum Products","Commercial"
"S12000029","South Lanarkshire","Council Area",2015,"Count","GWh",8.372,"Bioenergy & Wastes","Commercial"
"S12000048","Perth and Kinross","Council Area",2015,"Count","GWh",19.969,"Bioenergy & Wastes","Domestic"
"S12000023","Orkney Islands","Council Area",2015,"Count","GWh",1.332,"Bioenergy & Wastes","Commercial"
"S12000028","South Ayrshire","Council Area",2015,"Count","GWh",0.325,"Petroleum Products","Public Sector"
"S12000020","Moray","Council Area",2015,"Count","GWh",0,"Manufactured Fuels","Industrial"
"S12000028","South Ayrshire","Council Area",2015,"Count","GWh",657.483,"Gas","Domestic"
"S12000048","Perth and Kinross","Council Area",2015,"Count","GWh",71.483,"Petroleum Products","Rail"
"S12000048","Perth and Kinross","Council Area",2015,"Count","GWh",2023.81,"Petroleum Products","Road Transport"
"S12000023","Orkney Islands","Council Area",2015,"Count","GWh",0.293,"Coal","Commercial"
"S12000019","Midlothian","Council Area",2015,"Count","GWh",633.387,"Gas","All"
"S12000028","South Ayrshire","Council Area",2015,"Count","GWh",286.766,"Electricity","Industrial & Commercial"
"S12000010","East Lothian","Council Area",2015,"Count","GWh",93.128,"Gas","Commercial"
"S12000023","Orkney Islands","Council Area",2015,"Count","GWh",0,"Gas","Industrial"
"S12000028","South Ayrshire","Council Area",2015,"Count","GWh",102.467,"Petroleum Products","Agriculture"
"S12000048","Perth and Kinross","Council Area",2015,"Count","GWh",0,"Coal","Agriculture"
"S12000050","North Lanarkshire","Council Area",2015,"Count","GWh",2583.19,"All","Domestic"
"S12000027","Shetland Islands","Council Area",2015,"Count","GWh",0,"Coal","Agriculture"
"S12000010","East Lothian","Council Area",2015,"Count","GWh",2702.509,"All","All"
"S12000019","Midlothian","Council Area",2015,"Count","GWh",8.618,"Bioenergy & Wastes","Domestic"
"S12000048","Perth and Kinross","Council Area",2015,"Count","GWh",0,"Manufactured Fuels","Industrial"
"S12000019","Midlothian","Council Area",2015,"Count","GWh",146.293,"Electricity","Domestic"
"S12000027","Shetland Islands","Council Area",2015,"Count","GWh",4.22,"Bioenergy & Wastes","Road Transport"
"S12000029","South Lanarkshire","Council Area",2015,"Count","GWh",120.12,"Petroleum Products","Domestic"
"S12000040","West Lothian","Council Area",2015,"Count","GWh",253.191,"Electricity","Commercial"
"S12000019","Midlothian","Council Area",2015,"Count","GWh",2.914,"Manufactured Fuels","Domestic"
"S12000036","City of Edinburgh","Council Area",2015,"Count","GWh",845.763,"Electricity","Industrial"
"S12000028","South Ayrshire","Council Area",2015,"Count","GWh",11.857,"Bioenergy & Wastes","Domestic"
"S12000049","Glasgow City","Council Area",2015,"Count","GWh",3.887,"Petroleum Products","Agriculture"
"S12000049","Glasgow City","Council Area",2015,"Count","GWh",8.906,"Petroleum Products","Commercial"
"S12000038","Renfrewshire","Council Area",2015,"Count","GWh",36.17,"Bioenergy & Wastes","All"
"S12000028","South Ayrshire","Council Area",2015,"Count","GWh",218.111,"Electricity","Domestic"
"S12000036","City of Edinburgh","Council Area",2015,"Count","GWh",3028.826,"Petroleum Products","All"
"S12000020","Moray","Council Area",2015,"Count","GWh",137.667,"Petroleum Products","Domestic"
"S12000028","South Ayrshire","Council Area",2015,"Count","GWh",0,"Bioenergy & Wastes","Commercial"
"S12000040","West Lothian","Council Area",2015,"Count","GWh",0,"Bioenergy & Wastes","Industrial"
"S12000026","Scottish Borders","Council Area",2015,"Count","GWh",178.011,"Electricity","Industrial"
"S12000028","South Ayrshire","Council Area",2015,"Count","GWh",348.69,"Gas","Industrial"
"S12000028","South Ayrshire","Council Area",2015,"Count","GWh",298.674,"Gas","Commercial"
"S12000021","North Ayrshire","Council Area",2015,"Count","GWh",16.574,"Bioenergy & Wastes","Road Transport"
"S12000049","Glasgow City","Council Area",2015,"Count","GWh",2819.939,"Gas","Domestic"
"S12000041","Angus","Council Area",2015,"Count","GWh",2782.793,"All","All"
"S12000049","Glasgow City","Council Area",2015,"Count","GWh",13.826,"Petroleum Products","Domestic"
"S12000040","West Lothian","Council Area",2015,"Count","GWh",0,"Coal","Agriculture"
"S12000040","West Lothian","Council Area",2015,"Count","GWh",9.031,"Manufactured Fuels","All"
"S12000048","Perth and Kinross","Council Area",2015,"Count","GWh",152.274,"Gas","Commercial"
"S12000028","South Ayrshire","Council Area",2015,"Count","GWh",504.878,"Electricity","All"
"S12000048","Perth and Kinross","Council Area",2015,"Count","GWh",0.666,"Coal","Public Sector"
"S12000039","West Dunbartonshire","Council Area",2015,"Count","GWh",202.885,"Electricity","Industrial & Commercial"
"S12000028","South Ayrshire","Council Area",2015,"Count","GWh",1304.847,"Gas","All"
"S12000019","Midlothian","Council Area",2015,"Count","GWh",0,"Manufactured Fuels","Industrial"
"S12000020","Moray","Council Area",2015,"Count","GWh",93.565,"Petroleum Products","Industrial"
"S12000028","South Ayrshire","Council Area",2015,"Count","GWh",21.164,"Bioenergy & Wastes","Road Transport"
"S12000020","Moray","Council Area",2015,"Count","GWh",440.047,"Gas","Domestic"
