"FeatureCode","City","FeatureType","Year","Measurement","Units","Age","Value"
"S12000033","Aberdeen City","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-23.125
"S12000034","Aberdeenshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-9.5
"S12000041","Angus","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",4.15
"S12000035","Argyll and Bute","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",0.325
"S12000036","City of Edinburgh","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-13.875
"S12000005","Clackmannanshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",9.7
"S12000006","Dumfries and Galloway","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-0.35
"S12000042","Dundee City","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",5.5
"S12000008","East Ayrshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-15.975
"S12000045","East Dunbartonshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-5.4
"S12000010","East Lothian","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",2.65
"S12000011","East Renfrewshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",11.775
"S12000014","Falkirk","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",5.775
"S12000047","Fife","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",2.25
"S12000049","Glasgow City","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-3.675
"S12000017","Highland","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",5.275
"S12000018","Inverclyde","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-2.6
"S12000019","Midlothian","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-5.825
"S12000020","Moray","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-7.4
"S12000021","North Ayrshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-6.025
"S12000050","North Lanarkshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-7.9
"S12000023","Orkney Islands","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",3.1
"S12000048","Perth and Kinross","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-11.925
"S12000038","Renfrewshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-2.575
"S12000026","Scottish Borders","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",3.75
"S12000027","Shetland Islands","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",13.4
"S12000028","South Ayrshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",7.275
"S12000029","South Lanarkshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-3.775
"S12000030","Stirling","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-3.35
"S12000039","West Dunbartonshire","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",-0.5
"S12000040","West Lothian","Council Area","2015","Percentage Points","Percentage Points Difference","16-24 years",1.575
"S12000033","Aberdeen City","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-12.45
"S12000034","Aberdeenshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",4.275
"S12000041","Angus","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-15.425
"S12000035","Argyll and Bute","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",6.375
"S12000036","City of Edinburgh","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-3.13333333333333
"S12000006","Dumfries and Galloway","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",6.075
"S12000042","Dundee City","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-12.175
"S12000008","East Ayrshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",1.775
"S12000045","East Dunbartonshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-3.525
"S12000010","East Lothian","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",14.95
"S12000011","East Renfrewshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-8.675
"S12000014","Falkirk","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",6.975
"S12000047","Fife","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-7.3
"S12000049","Glasgow City","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",8.2
"S12000017","Highland","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-16.125
"S12000018","Inverclyde","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",10.325
"S12000019","Midlothian","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-3.06666666666667
"S12000020","Moray","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-4.45
"S12000021","North Ayrshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",9
"S12000050","North Lanarkshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-13.175
"S12000023","Orkney Islands","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-2.4
"S12000048","Perth and Kinross","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-13
"S12000038","Renfrewshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-8.6
"S12000026","Scottish Borders","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",5.425
"S12000027","Shetland Islands","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-13.9
"S12000028","South Ayrshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-8.7
"S12000029","South Lanarkshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-4.35
"S12000030","Stirling","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-5.025
"S12000039","West Dunbartonshire","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",-1.65
"S12000040","West Lothian","Council Area","2016","Percentage Points","Percentage Points Difference","16-24 years",7.6
"S12000033","Aberdeen City","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",7.8
"S12000034","Aberdeenshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",3.75
"S12000041","Angus","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-8.125
"S12000035","Argyll and Bute","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-4.625
"S12000036","City of Edinburgh","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-11.55
"S12000005","Clackmannanshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-10.1666666666667
"S12000006","Dumfries and Galloway","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",10.475
"S12000042","Dundee City","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-20.925
"S12000008","East Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-1.2
"S12000045","East Dunbartonshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",0.7
"S12000010","East Lothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",2.025
"S12000011","East Renfrewshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-7.225
"S12000014","Falkirk","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",7.15
"S12000047","Fife","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.525
"S12000049","Glasgow City","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.525
"S12000017","Highland","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-14.7
"S12000018","Inverclyde","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",1.825
"S12000019","Midlothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",7.925
"S12000020","Moray","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",1.35
"S12000013","Na h-Eileanan Siar","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-6.3
"S12000021","North Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",8.525
"S12000050","North Lanarkshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-7.325
"S12000048","Perth and Kinross","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.3
"S12000038","Renfrewshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-9.025
"S12000026","Scottish Borders","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",1.025
"S12000028","South Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-3.2
"S12000029","South Lanarkshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.6
"S12000030","Stirling","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.025
"S12000039","West Dunbartonshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-2.225
"S12000040","West Lothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-0.825
