"","FeatureName","DateCode","Value","Energy.Type","Energy.Consuming.Sector"
"1","Midlothian",2015,2.914,"Manufactured Fuels","All"
"2","Midlothian",2015,629.01,"Petroleum Products","All"
"3","Midlothian",2015,633.387,"Gas","All"
"4","East Lothian",2015,2702.509,"All","All"
"5","Renfrewshire",2015,36.17,"Bioenergy & Wastes","All"
"6","City of Edinburgh",2015,3028.826,"Petroleum Products","All"
"7","Angus",2015,2782.793,"All","All"
"8","West Lothian",2015,9.031,"Manufactured Fuels","All"
"9","South Ayrshire",2015,504.878,"Electricity","All"
"10","South Ayrshire",2015,1304.847,"Gas","All"
"11","South Ayrshire",2015,1098.128,"Petroleum Products","All"
"12","Shetland Islands",2015,0,"Gas","All"
"13","City of Edinburgh",2015,10175.903,"All","All"
"14","Glasgow City",2015,5204.432,"Gas","All"
"15","Midlothian",2015,358.683,"Electricity","All"
"16","Shetland Islands",2015,9.892,"Coal","All"
"17","South Ayrshire",2015,2953.518,"All","All"
"18","Fife",2015,297.7,"Bioenergy & Wastes","All"
"19","Fife",2015,13.617,"Coal","All"
"20","South Ayrshire",2015,6.138,"Coal","All"
"21","Renfrewshire",2015,1324.787,"Petroleum Products","All"
"22","Moray",2015,1850.643,"Gas","All"
"23","Glasgow City",2015,3410.752,"Petroleum Products","All"
"24","City of Edinburgh",2015,4578.979,"Gas","All"
"25","Perth and Kinross",2015,2563.393,"Petroleum Products","All"
"26","City of Edinburgh",2015,27.535,"Coal","All"
"27","Inverclyde",2015,345.489,"Electricity","All"
"28","South Lanarkshire",2015,1267.468,"Electricity","All"
"29","East Lothian",2015,433.052,"Coal","All"
"30","Perth and Kinross",2015,1005.615,"Gas","All"
"31","Orkney Islands",2015,10.818,"Bioenergy & Wastes","All"
"32","South Lanarkshire",2015,22.346,"Coal","All"
"33","Renfrewshire",2015,1.535,"Manufactured Fuels","All"
"34","Inverclyde",2015,0.546,"Coal","All"
"35","East Ayrshire",2015,460.266,"Electricity","All"
"36","Fife",2015,12131.842,"All","All"
"37","Orkney Islands",2015,339.965,"Petroleum Products","All"
"38","Renfrewshire",2015,3715.229,"All","All"
"39","East Renfrewshire",2015,1.905,"Manufactured Fuels","All"
"40","Midlothian",2015,34.004,"Bioenergy & Wastes","All"
"41","Moray",2015,12.6,"Coal","All"
"42","East Renfrewshire",2015,247.207,"Electricity","All"
"43","Moray",2015,77.107,"Bioenergy & Wastes","All"
"44","Angus",2015,14.897,"Coal","All"
"45","North Lanarkshire",2015,2993.219,"Gas","All"
"46","South Ayrshire",2015,6.506,"Manufactured Fuels","All"
"47","East Renfrewshire",2015,22.264,"Bioenergy & Wastes","All"
"48","Perth and Kinross",2015,7.722,"Manufactured Fuels","All"
"49","Scottish Borders",2015,588.666,"Electricity","All"
"50","City of Edinburgh",2015,2432.206,"Electricity","All"
"51","South Ayrshire",2015,33.021,"Bioenergy & Wastes","All"
"52","Aberdeen City",2015,1234.071,"Electricity","All"
"53","Orkney Islands",2015,6.224,"Coal","All"
"54","Moray",2015,922.924,"Petroleum Products","All"
"55","North Ayrshire",2015,2.978,"Coal","All"
"56","North Lanarkshire",2015,3029.295,"Petroleum Products","All"
"57","East Renfrewshire",2015,625.171,"Petroleum Products","All"
"58","Highland",2015,3445.401,"Petroleum Products","All"
"59","Glasgow City",2015,11718.188,"All","All"
"60","Orkney Islands",2015,0,"Gas","All"
"61","Clackmannanshire",2015,1041.855,"Gas","All"
"62","North Lanarkshire",2015,96.828,"Bioenergy & Wastes","All"
"63","Shetland Islands",2015,202.108,"Electricity","All"
"64","Aberdeen City",2015,33.629,"Coal","All"
"65","Clackmannanshire",2015,291.575,"Petroleum Products","All"
"66","East Ayrshire",2015,80.287,"Coal","All"
"67","Fife",2015,1630.403,"Electricity","All"
"68","Inverclyde",2015,464.331,"Petroleum Products","All"
"69","Moray",2015,515.803,"Electricity","All"
"70","Inverclyde",2015,16.277,"Bioenergy & Wastes","All"
"71","Stirling",2015,1172.896,"Petroleum Products","All"
"72","Shetland Islands",2015,15.062,"Bioenergy & Wastes","All"
"73","East Ayrshire",2015,320.76,"Bioenergy & Wastes","All"
"74","Fife",2015,6774.937,"Petroleum Products","All"
"75","Angus",2015,5.021,"Manufactured Fuels","All"
"76","Moray",2015,5.702,"Manufactured Fuels","All"
"77","East Lothian",2015,727.394,"Gas","All"
"78","Inverclyde",2015,1.556,"Manufactured Fuels","All"
"79","Highland",2015,1587.519,"Electricity","All"
"80","Stirling",2015,1219.714,"Gas","All"
"81","Highland",2015,1065.33,"Bioenergy & Wastes","All"
"82","East Dunbartonshire",2015,17.538,"Bioenergy & Wastes","All"
"83","Highland",2015,1232.198,"Gas","All"
"84","Scottish Borders",2015,6.844,"Manufactured Fuels","All"
"85","Clackmannanshire",2015,1.164,"Coal","All"
"86","Shetland Islands",2015,355.074,"Petroleum Products","All"
"87","Stirling",2015,474.865,"Electricity","All"
"88","Inverclyde",2015,646.714,"Gas","All"
"89","Clackmannanshire",2015,11.666,"Bioenergy & Wastes","All"
"90","East Lothian",2015,182.76,"Bioenergy & Wastes","All"
"91","East Dunbartonshire",2015,1778.033,"All","All"
"92","West Lothian",2015,1616.296,"Petroleum Products","All"
"93","Glasgow City",2015,89.177,"Bioenergy & Wastes","All"
"94","Stirling",2015,4.984,"Manufactured Fuels","All"
"95","Inverclyde",2015,1474.912,"All","All"
"96","City of Edinburgh",2015,3.865,"Manufactured Fuels","All"
"97","East Lothian",2015,468.363,"Electricity","All"
"98","Fife",2015,3379.04,"Gas","All"
"99","Stirling",2015,3501.069,"All","All"
"100","West Lothian",2015,49.732,"Bioenergy & Wastes","All"
"101","Angus",2015,46.319,"Bioenergy & Wastes","All"
"102","Clackmannanshire",2015,1661.943,"All","All"
"103","Na h-Eileanan Siar",2015,388.755,"Petroleum Products","All"
"104","Clackmannanshire",2015,3.818,"Manufactured Fuels","All"
"105","Shetland Islands",2015,584.57,"All","All"
"106","Glasgow City",2015,1.146,"Coal","All"
"107","East Renfrewshire",2015,1635.274,"All","All"
"108","Stirling",2015,5.762,"Coal","All"
"109","Fife",2015,36.145,"Manufactured Fuels","All"
"110","East Ayrshire",2015,1031.401,"Gas","All"
"111","Highland",2015,80.961,"Coal","All"
"112","Highland",2015,18.215,"Manufactured Fuels","All"
"113","West Lothian",2015,2.147,"Coal","All"
"114","East Lothian",2015,884.736,"Petroleum Products","All"
"115","Aberdeenshire",2015,6393.962,"All","All"
"116","Dundee City",2015,2960.449,"All","All"
"117","Dundee City",2015,22.251,"Bioenergy & Wastes","All"
"118","Scottish Borders",2015,1572.882,"Petroleum Products","All"
"119","North Ayrshire",2015,5251.586,"All","All"
"120","Dumfries and Galloway",2015,5161.551,"All","All"
"121","Angus",2015,1252.289,"Petroleum Products","All"
"122","Na h-Eileanan Siar",2015,2.827,"Manufactured Fuels","All"
"123","Renfrewshire",2015,801.981,"Electricity","All"
"124","Dumfries and Galloway",2015,1124.248,"Gas","All"
"125","East Ayrshire",2015,5.658,"Manufactured Fuels","All"
"126","North Ayrshire",2015,714.01,"Electricity","All"
"127","Falkirk",2015,1348.307,"Gas","All"
"128","West Dunbartonshire",2015,742.978,"Gas","All"
"129","Aberdeen City",2015,2377.717,"Gas","All"
"130","Aberdeenshire",2015,116.104,"Bioenergy & Wastes","All"
"131","Falkirk",2015,2.68,"Coal","All"
"132","West Dunbartonshire",2015,578.406,"Petroleum Products","All"
"133","Aberdeenshire",2015,27.487,"Manufactured Fuels","All"
"134","Falkirk",2015,13761.496,"Petroleum Products","All"
"135","East Dunbartonshire",2015,1.942,"Manufactured Fuels","All"
"136","Na h-Eileanan Siar",2015,0,"Gas","All"
"137","Aberdeenshire",2015,1379.189,"Gas","All"
"138","Scottish Borders",2015,89.809,"Coal","All"
"139","East Ayrshire",2015,2976.015,"All","All"
"140","East Dunbartonshire",2015,889.085,"Gas","All"
"141","Renfrewshire",2015,0.879,"Coal","All"
"142","Dumfries and Galloway",2015,71.472,"Coal","All"
"143","West Dunbartonshire",2015,0.195,"Coal","All"
"144","Dundee City",2015,1409.321,"Gas","All"
"145","Na h-Eileanan Siar",2015,22.614,"Bioenergy & Wastes","All"
"146","North Ayrshire",2015,1535.145,"Bioenergy & Wastes","All"
"147","Falkirk",2015,730.313,"Electricity","All"
"148","West Dunbartonshire",2015,1695.399,"All","All"
"149","Dundee City",2015,0.681,"Manufactured Fuels","All"
"150","North Lanarkshire",2015,4.132,"Coal","All"
"151","Aberdeen City",2015,5169.643,"All","All"
"152","North Lanarkshire",2015,38.716,"Manufactured Fuels","All"
"153","West Dunbartonshire",2015,357.345,"Electricity","All"
