"","FeatureName","DateCode","Age","Value"
"1","Aberdeen City",2015,"16-24 years",-23.125
"2","Aberdeenshire",2015,"16-24 years",-9.5
"3","Angus",2015,"16-24 years",4.15
"4","Argyll and Bute",2015,"16-24 years",0.325
"5","City of Edinburgh",2015,"16-24 years",-13.875
"6","Clackmannanshire",2015,"16-24 years",9.7
"7","Dumfries and Galloway",2015,"16-24 years",-0.35
"8","Dundee City",2015,"16-24 years",5.5
"9","East Ayrshire",2015,"16-24 years",-15.975
"10","East Dunbartonshire",2015,"16-24 years",-5.4
"11","East Lothian",2015,"16-24 years",2.65
"12","East Renfrewshire",2015,"16-24 years",11.775
"13","Falkirk",2015,"16-24 years",5.775
"14","Fife",2015,"16-24 years",2.25
"15","Glasgow City",2015,"16-24 years",-3.675
"16","Highland",2015,"16-24 years",5.275
"17","Inverclyde",2015,"16-24 years",-2.6
"18","Midlothian",2015,"16-24 years",-5.825
"19","Moray",2015,"16-24 years",-7.4
"20","North Ayrshire",2015,"16-24 years",-6.025
"21","North Lanarkshire",2015,"16-24 years",-7.9
"22","Orkney Islands",2015,"16-24 years",3.1
"23","Perth and Kinross",2015,"16-24 years",-11.925
"24","Renfrewshire",2015,"16-24 years",-2.575
"25","Scottish Borders",2015,"16-24 years",3.75
"26","Shetland Islands",2015,"16-24 years",13.4
"27","South Ayrshire",2015,"16-24 years",7.275
"28","South Lanarkshire",2015,"16-24 years",-3.775
"29","Stirling",2015,"16-24 years",-3.35
"30","West Dunbartonshire",2015,"16-24 years",-0.5
"31","West Lothian",2015,"16-24 years",1.575
"32","Aberdeen City",2016,"16-24 years",-12.45
"33","Aberdeenshire",2016,"16-24 years",4.275
"34","Angus",2016,"16-24 years",-15.425
"35","Argyll and Bute",2016,"16-24 years",6.375
"36","City of Edinburgh",2016,"16-24 years",-3.13333333333333
"37","Dumfries and Galloway",2016,"16-24 years",6.075
"38","Dundee City",2016,"16-24 years",-12.175
"39","East Ayrshire",2016,"16-24 years",1.775
"40","East Dunbartonshire",2016,"16-24 years",-3.525
"41","East Lothian",2016,"16-24 years",14.95
"42","East Renfrewshire",2016,"16-24 years",-8.675
"43","Falkirk",2016,"16-24 years",6.975
"44","Fife",2016,"16-24 years",-7.3
"45","Glasgow City",2016,"16-24 years",8.2
"46","Highland",2016,"16-24 years",-16.125
"47","Inverclyde",2016,"16-24 years",10.325
"48","Midlothian",2016,"16-24 years",-3.06666666666667
"49","Moray",2016,"16-24 years",-4.45
"50","North Ayrshire",2016,"16-24 years",9
"51","North Lanarkshire",2016,"16-24 years",-13.175
"52","Orkney Islands",2016,"16-24 years",-2.4
"53","Perth and Kinross",2016,"16-24 years",-13
"54","Renfrewshire",2016,"16-24 years",-8.6
"55","Scottish Borders",2016,"16-24 years",5.425
