"FeatureName","DateCode","Age","Value"
"Aberdeen City",2015,"16-24 years",-23.125
"Aberdeenshire",2015,"16-24 years",-9.5
"Angus",2015,"16-24 years",4.15
"Argyll and Bute",2015,"16-24 years",0.325
"City of Edinburgh",2015,"16-24 years",-13.875
"Clackmannanshire",2015,"16-24 years",9.7
"Dumfries and Galloway",2015,"16-24 years",-0.35
"Dundee City",2015,"16-24 years",5.5
"East Ayrshire",2015,"16-24 years",-15.975
"East Dunbartonshire",2015,"16-24 years",-5.4
"East Lothian",2015,"16-24 years",2.65
"East Renfrewshire",2015,"16-24 years",11.775
"Falkirk",2015,"16-24 years",5.775
"Fife",2015,"16-24 years",2.25
"Glasgow City",2015,"16-24 years",-3.675
"Highland",2015,"16-24 years",5.275
"Inverclyde",2015,"16-24 years",-2.6
"Midlothian",2015,"16-24 years",-5.825
"Moray",2015,"16-24 years",-7.4
"North Ayrshire",2015,"16-24 years",-6.025
"North Lanarkshire",2015,"16-24 years",-7.9
"Orkney Islands",2015,"16-24 years",3.1
"Perth and Kinross",2015,"16-24 years",-11.925
"Renfrewshire",2015,"16-24 years",-2.575
"Scottish Borders",2015,"16-24 years",3.75
"Shetland Islands",2015,"16-24 years",13.4
"South Ayrshire",2015,"16-24 years",7.275
"South Lanarkshire",2015,"16-24 years",-3.775
"Stirling",2015,"16-24 years",-3.35
"West Dunbartonshire",2015,"16-24 years",-0.5
"West Lothian",2015,"16-24 years",1.575
"Aberdeen City",2016,"16-24 years",-12.45
"Aberdeenshire",2016,"16-24 years",4.275
"Angus",2016,"16-24 years",-15.425
"Argyll and Bute",2016,"16-24 years",6.375
"City of Edinburgh",2016,"16-24 years",-3.13333333333333
"Dumfries and Galloway",2016,"16-24 years",6.075
"Dundee City",2016,"16-24 years",-12.175
"East Ayrshire",2016,"16-24 years",1.775
"East Dunbartonshire",2016,"16-24 years",-3.525
"East Lothian",2016,"16-24 years",14.95
"East Renfrewshire",2016,"16-24 years",-8.675
"Falkirk",2016,"16-24 years",6.975
"Fife",2016,"16-24 years",-7.3
"Glasgow City",2016,"16-24 years",8.2
"Highland",2016,"16-24 years",-16.125
"Inverclyde",2016,"16-24 years",10.325
"Midlothian",2016,"16-24 years",-3.06666666666667
"Moray",2016,"16-24 years",-4.45
"North Ayrshire",2016,"16-24 years",9
"North Lanarkshire",2016,"16-24 years",-13.175
"Orkney Islands",2016,"16-24 years",-2.4
"Perth and Kinross",2016,"16-24 years",-13
"Renfrewshire",2016,"16-24 years",-8.6
"Scottish Borders",2016,"16-24 years",5.425
"Shetland Islands",2016,"16-24 years",-13.9
"South Ayrshire",2016,"16-24 years",-8.7
"South Lanarkshire",2016,"16-24 years",-4.35
"Stirling",2016,"16-24 years",-5.025
"West Dunbartonshire",2016,"16-24 years",-1.65
"West Lothian",2016,"16-24 years",7.6
"Aberdeen City",2017,"16-24 years",7.8
"Aberdeenshire",2017,"16-24 years",3.75
"Angus",2017,"16-24 years",-8.125
"Argyll and Bute",2017,"16-24 years",-4.625
"City of Edinburgh",2017,"16-24 years",-11.55
"Clackmannanshire",2017,"16-24 years",-10.1666666666667
"Dumfries and Galloway",2017,"16-24 years",10.475
"Dundee City",2017,"16-24 years",-20.925
"East Ayrshire",2017,"16-24 years",-1.2
"East Dunbartonshire",2017,"16-24 years",0.7
"East Lothian",2017,"16-24 years",2.025
"East Renfrewshire",2017,"16-24 years",-7.225
"Falkirk",2017,"16-24 years",7.15
"Fife",2017,"16-24 years",5.525
"Glasgow City",2017,"16-24 years",5.525
"Highland",2017,"16-24 years",-14.7
"Inverclyde",2017,"16-24 years",1.825
"Midlothian",2017,"16-24 years",7.925
"Moray",2017,"16-24 years",1.35
"Na h-Eileanan Siar",2017,"16-24 years",-6.3
"North Ayrshire",2017,"16-24 years",8.525
"North Lanarkshire",2017,"16-24 years",-7.325
"Perth and Kinross",2017,"16-24 years",5.3
"Renfrewshire",2017,"16-24 years",-9.025
"Scottish Borders",2017,"16-24 years",1.025
"South Ayrshire",2017,"16-24 years",-3.2
"South Lanarkshire",2017,"16-24 years",5.6
"Stirling",2017,"16-24 years",5.025
"West Dunbartonshire",2017,"16-24 years",-2.225
"West Lothian",2017,"16-24 years",-0.825
"Aberdeen City",2018,"16-24 years",19.675
"Aberdeenshire",2018,"16-24 years",19.2333333333333
"Angus",2018,"16-24 years",-1.025
"Argyll and Bute",2018,"16-24 years",-4.15
"City of Edinburgh",2018,"16-24 years",6.925
"Clackmannanshire",2018,"16-24 years",5
"Dumfries and Galloway",2018,"16-24 years",10.075
"Dundee City",2018,"16-24 years",-5.275
"East Ayrshire",2018,"16-24 years",5.75
"East Dunbartonshire",2018,"16-24 years",-2.175
"East Lothian",2018,"16-24 years",0.35
"East Renfrewshire",2018,"16-24 years",-4.9
"Falkirk",2018,"16-24 years",-0.0249999999999999
"Fife",2018,"16-24 years",7.875
"Glasgow City",2018,"16-24 years",12.875
"Highland",2018,"16-24 years",-2.175
"Inverclyde",2018,"16-24 years",9.5
"Midlothian",2018,"16-24 years",2.05
"Moray",2018,"16-24 years",14.775
"Na h-Eileanan Siar",2018,"16-24 years",-10.075
"North Ayrshire",2018,"16-24 years",16.025
"North Lanarkshire",2018,"16-24 years",-2.1
"Perth and Kinross",2018,"16-24 years",4.8
"Renfrewshire",2018,"16-24 years",11.75
"Scottish Borders",2018,"16-24 years",3.8
"South Ayrshire",2018,"16-24 years",-2.2
"South Lanarkshire",2018,"16-24 years",-6.325
"Stirling",2018,"16-24 years",-1.5
"West Dunbartonshire",2018,"16-24 years",-8.75
"West Lothian",2018,"16-24 years",2.625
"Aberdeen City",2019,"16-24 years",13.45
"Aberdeenshire",2019,"16-24 years",-13.075
"Angus",2019,"16-24 years",5.55
"Argyll and Bute",2019,"16-24 years",10.55
"City of Edinburgh",2019,"16-24 years",13.5
"Clackmannanshire",2019,"16-24 years",-10.45
"Dumfries and Galloway",2019,"16-24 years",-0.575
"Dundee City",2019,"16-24 years",-12.425
"East Ayrshire",2019,"16-24 years",-8.525
"East Dunbartonshire",2019,"16-24 years",-5.525
"East Lothian",2019,"16-24 years",0.925
"East Renfrewshire",2019,"16-24 years",-0.6
"Falkirk",2019,"16-24 years",4.075
"Fife",2019,"16-24 years",10.925
"Glasgow City",2019,"16-24 years",-2.625
"Highland",2019,"16-24 years",18.1
"Inverclyde",2019,"16-24 years",5.825
"Midlothian",2019,"16-24 years",-4.7
"Moray",2019,"16-24 years",-3.075
"Na h-Eileanan Siar",2019,"16-24 years",-2.1
"North Ayrshire",2019,"16-24 years",7.23333333333333
"North Lanarkshire",2019,"16-24 years",-13.725
"Orkney Islands",2019,"16-24 years",0
"Perth and Kinross",2019,"16-24 years",2.875
"Renfrewshire",2019,"16-24 years",-0.35
"Scottish Borders",2019,"16-24 years",-6.7
"South Ayrshire",2019,"16-24 years",-2.5
"South Lanarkshire",2019,"16-24 years",-7.625
"Stirling",2019,"16-24 years",4.875
"West Dunbartonshire",2019,"16-24 years",-11.3
"West Lothian",2019,"16-24 years",-4.975
"Aberdeen City",2020,"16-24 years",3.1
"Aberdeenshire",2020,"16-24 years",-23.1
"Angus",2020,"16-24 years",11.5
"Argyll and Bute",2020,"16-24 years",15.4
"City of Edinburgh",2020,"16-24 years",4.1
"Clackmannanshire",2020,"16-24 years",-25.3
"Dumfries and Galloway",2020,"16-24 years",21
"Dundee City",2020,"16-24 years",-16.4
"East Ayrshire",2020,"16-24 years",9.7
"East Dunbartonshire",2020,"16-24 years",-18.4
"East Lothian",2020,"16-24 years",14.2
"East Renfrewshire",2020,"16-24 years",5.5
"Falkirk",2020,"16-24 years",13.6
"Fife",2020,"16-24 years",2.9
"Glasgow City",2020,"16-24 years",-3.8
"Highland",2020,"16-24 years",1
"Inverclyde",2020,"16-24 years",2.3
"Midlothian",2020,"16-24 years",-20.7
"Moray",2020,"16-24 years",-3
"Na h-Eileanan Siar",2020,"16-24 years",-14
"North Ayrshire",2020,"16-24 years",16.9
"North Lanarkshire",2020,"16-24 years",0.5
"Perth and Kinross",2020,"16-24 years",-4.7
"Renfrewshire",2020,"16-24 years",-10.6
"Scottish Borders",2020,"16-24 years",-14.5
"South Ayrshire",2020,"16-24 years",16.4
"South Lanarkshire",2020,"16-24 years",2
"Stirling",2020,"16-24 years",11.1
"West Dunbartonshire",2020,"16-24 years",-9.9
"West Lothian",2020,"16-24 years",1.1
"Aberdeen City",2015,"16-64 years",0.475
"Aberdeenshire",2015,"16-64 years",13.2
"Angus",2015,"16-64 years",8.875
"Argyll and Bute",2015,"16-64 years",4.7
"City of Edinburgh",2015,"16-64 years",3.15
"Clackmannanshire",2015,"16-64 years",14.025
"Dumfries and Galloway",2015,"16-64 years",7
"Dundee City",2015,"16-64 years",7.95
"East Ayrshire",2015,"16-64 years",3.375
"East Dunbartonshire",2015,"16-64 years",6.3
"East Lothian",2015,"16-64 years",7.525
"East Renfrewshire",2015,"16-64 years",9.325
"Falkirk",2015,"16-64 years",8.15
